TURN_NAME,TEXT
Ses05M_script01_1b_M029,"she's who I know best. I know her since I- I was a kid I grew up with her.  When I think of somebody for my wife these days, I I think of Annie.  What do you want, a diagram?"
Ses05M_script01_1b_F027,"No I don't want a-  Your father thinks he's coming back, Chris.  If you marry that girl, you're pronouncing him dead."
Ses05M_script01_1b_F028,"Now, what's going to happen to your father, do you know?  I don't."
Ses05M_script01_1b_M030,"All right then, mom."
Ses05M_script01_1b_F029,Just give it some more thought.
Ses05M_script01_1b_M031,"I've given it three years of thought.  I had hoped if I waited, dad would've forgotten him by now and we could have a- a regular wedding and everybody happy."
Ses05M_script01_1b_M032,But if that can't happen then I'll just get out.
Ses05M_script01_1b_F030,What the hell is this?
Ses05M_script01_1b_M033,"I'll get out.  I'll go get married someplace else, I- I'll live someplace else, maybe New York."
Ses05M_script01_1b_F031,Are you crazy?
Ses05M_script01_1b_M034,"I've been a good son for too long, a good sucker.  I'm through with it."
Ses05M_script01_1b_F032,But you have a business here.  What the hell is this?
Ses05M_script01_1b_M035,The business?  The business doesn't inspire me.
Ses05M_script01_1b_F033,Must you be inspired?
Ses05M_script01_1b_M036,"Yeah, I'd like one hour a day.  If I have to grub for money all day long, I'd like to go home to something beautiful.  I'd like a family.  I'd like some kids."
Ses05M_script01_1b_M037,"I'd like to build something that's my own.  And Annie is in the center of that.  Now, where do I find it?"
Ses05M_script01_1b_F034,You don't want to think like that.
Ses05M_script01_1b_M038,"Well, you help me stay here."
Ses05M_script01_1b_F035,"All right.  But don't think like that because what the hell did we work for, Chris?  All of this, all of it, it's all just for you."
Ses05M_script01_1b_M039,"I know that, mom.  Just you help me stay here."
Ses05M_script01_1b_F036,"Don't think like that, do you hear me?"
Ses05M_script01_1b_M040,"Well, I am thinking like that."
Ses05M_script01_1b_F037,"I don't understand you, do I?"
Ses05M_script01_1b_M041,"No, you don't.  I'm a pretty tough guy."
Ses05M_script01_1b_F038,"Yeah, I can see that."
