TURN_NAME,TEXT
Ses05F_impro03_M023,Are you going to do it in town or are you out of town?
Ses05F_impro03_F023,"oh, We'll do it in town."
Ses05F_impro03_M024,"Oh, okay."
Ses05F_impro03_F024,"Yeah, his family doesn't live too far away, so I think-"
Ses05F_impro03_M025,"Yeah, where's he from again?"
Ses05F_impro03_F025,He's from Chicago as well.
Ses05F_impro03_M026,"Oh he is, okay."
Ses05F_impro03_F026,Yeah.
Ses05F_impro03_M027,"Cool, perfect.  Another Chicagoite, got to love it."
Ses05F_impro03_F027,"It's so weird too, right, that like you can grow up so near somebody and never know them until you travel hundreds of miles away."
Ses05F_impro03_MXX0,Yeah.
Ses05F_impro03_M028,"Exactly, yeah.  I can't believe you met him in Africa."
Ses05F_impro03_F028,I know
Ses05F_impro03_M029,"And the chances, what are the chances of meeting somebody in Africa and then coming back to Chicago?"
Ses05F_impro03_F029,"Right, being like oh, where are you from?  The U.S.  Where in the U.S.?  Chicago.  Where in Chicago?"
Ses05F_impro03_M030,[LAUGHTER] I am sil
Ses05F_impro03_F030,"Knowing the neighborhood.  Yeah, it's pretty bizarre."
Ses05F_impro03_M031,And now you're getting married.
Ses05F_impro03_F031,Yeah.
Ses05F_impro03_M032,That is amazing.  You must be so excited.  Did you tell your mom?
Ses05F_impro03_F032,Mm-hmm.
Ses05F_impro03_M033,"Oh, did she cry?"
Ses05F_impro03_F033,"Yeah, she loves him."
Ses05F_impro03_M034,"I knew it.  I knew it, of course she does.  How could you not love Mr. Peace Corps worker man?  He's the nicest guy ever."
Ses05F_impro03_F034,"Yeah, she-yeah, that's my type."
Ses05F_impro03_M035,[BREATHING]
Ses05F_impro03_M036,you.. I can't believe it.  I'm so happy for you.  This is exactly what you wanted.  It's your dream come true.
Ses05F_impro03_F035,Thank you.
Ses05F_impro03_M037,"The exact right guy, I fully approve.  He's a wonderful guy.  We have a great time.  He can drink.  That's awesome."
Ses05F_impro03_F036,[LAUGHTER]
Ses05F_impro03_M038,[LAUGHTER]
Ses05F_impro03_F037,"Yeah, we all have to hang out now."
Ses05F_impro03_M039,"Of course, of course she will ... of course she will.  Yeah, don't go and disappear like everyone else after they get married and I never see them again.  That'll make me mad.  You don't want to make me mad.  You know how I get when I get mad."
Ses05F_impro03_FXX2,No.
Ses05F_impro03_FXX3,No.
Ses05F_impro03_F038,"I mean, I I have I have some duty to the man I was going to marry if nobody else came up."
Ses05F_impro03_M040,Exactly.
Ses05F_impro03_M041,"Exactly, ""laugh""."
Ses05F_impro03_F039,Sorry.
Ses05F_impro03_M042,"ahh I was always worried you'd be a little bit jealous of me, but I was never quite that lucky."
Ses05F_impro03_F040,There's still time for that.
Ses05F_impro03_M043,"Oh, thanks. move here before you get married [LAUGHTER]"
Ses05F_impro03_F041,[BREATHING]
Ses05F_impro03_M044,"Perfect, okay, good. ""sigh"""
Ses05F_impro03_M045,"I don't feel so bad then.  Well, I'm excited for you."
Ses05F_impro03_F042,I know. I can't believe it.
Ses05F_impro03_M046,I can't believe it.
Ses05F_impro03_F043,I am very excited
Ses05F_impro03_M047,Who else have you told?
Ses05F_impro03_F044,Just a few people.
Ses05F_impro03_M048,Really?
Ses05F_impro03_F045,Just close friends so far.
Ses05F_impro03_M049,So I was one of the first ones? That makes me feel so important.
Ses05F_impro03_FXX3,Yeah.
Ses05F_impro03_F046,I have to think about moving now.  We're going to move in together
Ses05F_impro03_M050,"Oh yeah, of course."
Ses05F_impro03_F047,I think it's a good idea to live together before you get married.
Ses05F_impro03_M051,"I think so, too.  Are you going to get a house or-"
Ses05F_impro03_F048,"I don't want a house, I mean just-"
Ses05F_impro03_M052,No?
Ses05F_impro03_F049,L.A. apartment is fine.
Ses05F_impro03_M053,"Oh, nice."
Ses05F_impro03_F050,yeah.
Ses05F_impro03_M054,A good apartment. [BREATHING]
Ses05F_impro03_F051,"Two artists, though.  We're bound to be poor forever."
Ses05F_impro03_M055,"Yeah, how are you going to survive?"
Ses05F_impro03_M056,Exactly. Are you going to have kids?
Ses05F_impro03_F052,"Yeah, I think so.  I mean, not for a while."
Ses05F_impro03_M057,yeah.
Ses05F_impro03_M058,yeah.
Ses05F_impro03_F053,Definitely not for a while
Ses05F_impro03_F054,yeah.
Ses05F_impro03_M059,"So now, I'm going to have to find somebody else to bear my children."
Ses05F_impro03_F055,[LAUGHTER] Good luck.
Ses05F_impro03_M060,[LAUGHTER]
Ses05F_impro03_M061,"Oh, thanks.  I'll need it."
Ses05F_impro03_F056,"You won't have trouble, You won't have trouble."
Ses05F_impro03_M062,"Oh thanks, you're too nice"
Ses05F_impro03_M063,just being polite now
Ses05F_impro03_F057,"You should just approach her like that.  Hey, will you bear my children?"
Ses05F_impro03_M064,because I am not getting married.
Ses05F_impro03_M065,"Exactly, [LAUGHTER] I think that'll go over great, don't you?"
Ses05F_impro03_F058,"Yeah, totally."
Ses05F_impro03_M066,"That's what girls like, right?"
Ses05F_impro03_F059,Total turn on.
Ses05F_impro03_M067,Would you mind popping out a few for me?
Ses05F_impro03_F060,[LAUGHTER]
Ses05F_impro03_M068,"That'd be great, thanks."
